Date,FB,AMZN,ATVI,V,MSFT,HD,AIZ,FISV,MCD,GPN
2016-06-06,118.790001,726.72998,37.53022,79.80883,50.588333,125.605682,82.34774,106.629997,117.805542,77.100365
2016-06-07,117.760002,723.73999,37.897972,79.868294,50.559216,126.31543,82.619995,106.510002,117.708984,76.890511
2016-06-08,118.389999,726.640015,37.888031,80.90876,50.500992,125.994568,82.726959,107.400002,117.911758,76.270889
2016-06-09,118.559998,727.650024,38.305477,80.522293,50.09341,125.712631,82.688065,107.339996,118.568375,76.550713
2016-06-10,116.620003,717.909973,37.540161,79.452095,49.957554,125.255669,82.425529,106.379997,118.153168,74.69191
2016-06-13,113.949997,715.23999,37.401016,77.688263,48.657181,124.283417,81.861572,105.610001,118.761497,73.732529
2016-06-14,114.940002,719.299988,38.176266,77.856712,48.35635,121.765274,81.637939,105.75,118.298012,73.692558
2016-06-15,114.599998,714.26001,38.096756,77.460342,48.22049,123.019485,81.28788,105.760002,118.046944,74.01236
2016-06-16,114.389999,717.51001,38.792492,77.638702,48.899788,123.826462,82.89225,106.279999,118.259392,74.49205
2016-06-17,113.019997,706.390015,37.848278,76.291061,48.64748,123.612556,83.145058,104.43,118.066254,73.942398
2016-06-20,113.370003,714.01001,38.454563,76.637878,48.589252,124.079247,83.378433,105.360001,119.17672,75.051689
2016-06-21,114.379997,715.820007,38.424744,76.627968,49.676128,124.195908,83.485382,105.440002,118.413879,74.831833
2016-06-22,113.910004,710.599976,38.086815,75.835243,49.482048,124.059799,83.767372,104.440002,116.472992,74.212219
2016-06-23,115.080002,722.080017,38.683163,77.519806,50.374836,124.730652,84.185486,105.629997,117.042702,75.841171
2016-06-24,112.080002,698.960022,36.754967,74.368675,48.35635,122.893097,80.908676,103.25,115.333557,70.224792
2016-06-27,108.970001,691.359985,35.930019,72.674194,46.997757,121.21109,78.769524,102.449997,112.301514,67.436592
2016-06-28,112.699997,707.950012,36.953751,74.477676,47.977886,123.991745,80.869781,104.779999,114.425865,69.715118
2016-06-29,114.160004,715.599976,37.788639,76.043327,49.045349,123.836174,82.007423,106.440002,115.381836,70.794418
2016-06-30,114.279999,715.619995,39.388844,73.496651,49.656723,124.147301,83.922935,108.730003,116.202614,71.334076
2016-07-01,114.190002,725.679993,39.368965,73.803848,49.647018,126.023743,85.517586,108.910004,116.260559,71.693848
2016-07-05,114.199997,728.099976,39.905682,73.992119,49.656723,125.761253,83.125603,109.43,116.608177,71.813766
2016-07-06,116.699997,737.609985,40.263485,73.387665,49.860512,127.919647,83.038109,108.709999,116.482635,72.013641
2016-07-07,115.849998,736.570007,40.144218,73.833572,49.860512,127.521019,82.085213,108.43,116.762665,71.753807
2016-07-08,117.239998,745.809998,41.038742,75.726234,50.753307,130.612793,84.039627,109.690002,117.139259,73.492691
2016-07-11,117.870003,753.780029,41.943203,75.825325,51.034729,131.400314,84.467453,110.300003,117.805542,74.751884
2016-07-12,117.93,748.210022,42.400406,76.776611,51.636391,131.098938,85.1092,110.190002,118.046944,75.391472
2016-07-13,116.779999,742.630005,41.853752,76.75679,51.927517,129.854431,85.507858,110.57,118.597351,75.631317
2016-07-14,117.290001,741.200012,41.595333,77.430618,52.150719,130.807236,85.867622,110.550003,119.669189,76.430794
2016-07-15,116.860001,735.440002,41.943203,77.58918,52.1119,131.040573,85.498131,110.339996,119.360191,76.670639
2016-07-18,119.370003,736.070007,41.883568,77.599075,52.364212,132.557312,85.167526,110.260002,119.543648,76.710617
2016-07-19,120.610001,739.950012,41.267342,78.005356,51.519943,133.17955,85.167526,110.389999,122.150818,76.720612
2016-07-20,121.919998,745.719971,41.128193,78.639542,54.256546,133.59761,84.973068,110.910004,121.725952,77.869865
2016-07-21,120.610001,744.429993,41.018864,78.074722,54.149796,132.294815,84.904999,109.93,122.807449,77.160324
2016-07-22,121.0,744.859985,41.187828,79.184547,54.897022,132.732315,85.468964,110.480003,123.850311,77.759933
2016-07-25,121.629997,739.609985,42.141987,78.223358,55.052292,132.71286,85.177254,110.349998,123.019882,78.269608
2016-07-26,121.220001,735.590027,41.307098,77.777443,55.081406,132.955933,84.117409,110.919998,117.525505,79.179031
2016-07-27,123.339996,736.669983,40.641174,77.817078,54.528259,132.528137,81.433731,110.0,115.372185,78.379539
2016-07-28,125.0,752.609985,40.024948,78.471092,54.547668,134.13237,81.0448,110.709999,115.314247,78.139702
2016-07-29,123.940002,758.809998,39.915619,77.341446,55.003773,134.404617,80.714203,110.360001,113.605103,74.611977
2016-08-01,124.309998,767.73999,39.826164,77.549538,54.906734,134.919907,80.947578,110.349998,113.952721,73.662582
2016-08-02,123.089996,760.580017,39.508114,77.569351,54.906734,133.412903,80.98645,109.410004,113.653374,71.453995
2016-08-03,122.510002,754.640015,40.134281,77.995445,55.285198,133.257339,81.783783,104.449997,113.479561,73.112946
2016-08-04,124.360001,760.77002,40.581543,78.758461,55.692776,132.27536,81.375397,105.580002,114.232758,73.512672
2016-08-05,125.150002,765.97998,40.313187,79.41246,56.245914,133.111511,82.464417,105.190002,115.111465,74.49205
