Date,AMZN,EQIX,ATVI,AVY,V,FISV,GOOGL,GOOG,INFO,RTN
2016-06-07,723.73999,370.950012,37.897972,74.048218,79.868294,106.510002,731.090027,716.650024,33.41,130.461929
2016-06-08,726.640015,372.940002,37.888031,74.476799,80.90876,107.400002,742.929993,728.280029,33.549999,132.140091
2016-06-09,727.650024,373.209991,38.305477,74.583946,80.522293,107.339996,742.52002,728.580017,33.34,132.518417
2016-06-10,717.909973,370.299988,37.540161,75.109947,79.452095,106.379997,733.190002,719.409973,33.099998,132.56694
2016-06-13,715.23999,369.320007,37.401016,73.746254,77.688263,105.610001,731.880005,718.359985,32.75,130.869324
2016-06-14,719.299988,369.309998,38.176266,73.91185,77.856712,105.75,733.25,718.27002,32.779999,131.693863
2016-06-15,714.26001,372.100006,38.096756,73.697563,77.460342,105.760002,732.190002,718.919983,32.43,131.907272
2016-06-16,717.51001,377.459991,38.792492,73.921593,77.638702,106.279999,724.25,710.359985,32.41,132.091583
2016-06-17,706.390015,374.579987,37.848278,73.093643,76.291061,104.43,704.25,691.719971,32.650002,130.626846
2016-06-20,714.01001,373.910004,38.454563,74.243027,76.637878,105.360001,706.130005,693.710022,32.73,130.762619
2016-06-21,715.820007,379.51001,38.424744,74.350174,76.627968,105.440002,708.880005,695.940002,32.66,130.558914
2016-06-22,710.599976,379.649994,38.086815,74.379395,75.835243,104.440002,710.469971,697.460022,32.299999,130.568634
2016-06-23,722.080017,385.429993,38.683163,75.11969,77.519806,105.629997,714.869995,701.869995,32.689999,130.791733
2016-06-24,698.960022,375.950012,36.754967,71.710464,74.368675,103.25,685.200012,675.219971,31.209999,131.684174
2016-06-27,691.359985,371.160004,35.930019,69.265579,72.674194,102.449997,681.140015,668.26001,30.4,130.762619
2016-06-28,707.950012,377.029999,36.953751,70.1325,74.477676,104.779999,691.26001,680.039978,31.299999,129.006851
2016-06-29,715.599976,386.019989,37.788639,70.931213,76.043327,106.440002,695.190002,684.109985,32.279999,131.024551
2016-06-30,715.619995,387.730011,39.388844,72.811157,73.496651,108.730003,703.530029,692.099976,32.599998,131.878159
2016-07-01,725.679993,386.880005,39.368965,70.736412,73.803848,108.910004,710.25,699.210022,33.099998,131.490997
2016-07-05,728.099976,386.140015,39.905682,69.285042,73.992119,109.43,704.890015,694.950012,32.549999,133.324585
2016-07-06,737.609985,387.440002,40.263485,69.957161,73.387665,108.709999,708.969971,697.77002,32.220001,134.641235
2016-07-07,736.570007,382.679993,40.144218,70.29808,73.833572,108.43,707.26001,695.359985,31.959999,133.55864
2016-07-08,745.809998,389.450012,41.038742,71.398766,75.726234,109.690002,717.780029,705.630005,32.029999,135.070374
2016-07-11,753.780029,388.75,41.943203,71.096809,75.825325,110.300003,727.200012,715.090027,32.66,135.753067
2016-07-12,748.210022,387.200012,42.400406,71.067589,76.776611,110.190002,732.51001,720.640015,32.84,134.914322
2016-07-13,742.630005,386.709991,41.853752,71.281891,76.75679,110.57,729.47998,716.97998,36.099998,135.45076
2016-07-14,741.200012,383.809998,41.595333,71.457214,77.430618,110.550003,735.799988,720.950012,35.889999,135.128906
2016-07-15,735.440002,379.970001,41.943203,71.62281,77.58918,110.339996,735.630005,719.849976,35.16,135.245926
