Date,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2016-07-12,19.885223,70.778404,79.621269,8.592468,115.185356,26.436321,8.820497,51.280403,39.536858,11.16052
2016-07-13,20.001968,70.402786,79.389183,8.621662,115.04882,26.110313,8.80111,50.649868,39.497971,11.248093
2016-07-14,20.420296,72.251945,80.664474,8.835743,116.511795,26.594385,8.946502,51.408478,40.100697,11.462155
2016-07-15,20.410566,72.338623,79.885674,8.874668,116.121666,26.703056,8.975581,52.029167,40.72287,11.384315
2016-07-18,20.410566,72.617928,79.914879,8.913591,115.604752,26.772209,9.014354,52.403545,40.713154,11.413504
2016-07-19,20.459209,72.3964,80.187462,8.641124,115.79982,27.147614,8.985275,52.107983,40.80064,11.403774
2016-07-20,20.741341,72.752762,80.411362,8.680047,111.001244,27.582289,8.956195,52.659706,40.80064,11.501077
2016-07-21,21.09157,72.64682,80.265335,8.699509,109.947899,27.523016,8.878653,52.876446,40.713154,11.364853
2016-07-22,21.208313,72.964645,80.635269,8.787088,111.654709,27.839144,8.994967,53.063644,41.014511,11.491345
2016-07-25,21.43207,72.752762,80.567131,8.728703,110.562347,27.918179,9.014354,53.231121,40.80064,11.364853
2016-07-26,21.879581,73.089844,80.498985,8.903859,111.625443,28.303461,9.120975,53.654762,40.80064,11.296741
2016-07-27,21.967138,72.637177,80.430832,8.855206,112.093597,28.362734,9.130668,53.910927,40.83952,11.340852
2016-07-28,21.84067,72.974266,80.820236,8.913591,111.996071,28.362734,9.169437,54.098114,40.907574,11.419268
2016-07-29,21.723923,72.511986,80.460037,8.923323,111.732727,28.076244,9.20821,54.088264,40.995064,11.468276
2016-08-01,21.714144,72.088219,80.23613,8.777358,109.996658,27.997211,9.091895,53.506985,40.518723,11.252633
2016-08-02,21.567427,71.240692,79.496277,8.660585,109.235909,27.592169,8.985275,52.708965,40.275688,11.223228
2016-08-03,21.968452,73.340256,81.628242,8.796819,111.08902,28.046604,9.091895,53.605507,40.956184,11.438871
2016-08-04,22.115171,70.152382,81.657448,8.796819,111.157295,28.145395,9.062818,53.546391,40.858967,11.497683
2016-08-05,22.878101,73.224678,84.14962,9.137403,114.307571,29.56798,9.45053,54.876431,41.772778,12.017185
2016-08-08,22.936789,74.447823,84.198288,9.137403,114.824501,29.696404,9.440838,55.063622,41.74361,11.928968
2016-08-09,22.975914,74.621178,83.964653,9.117942,114.658691,29.726042,9.402067,54.984806,41.636677,11.997581
2016-08-10,22.741165,73.369141,83.127434,9.010901,113.69313,29.270548,9.246982,54.837025,41.315872,11.879959
2016-08-11,22.887882,73.686974,83.234528,9.049825,113.907692,29.62702,9.276059,55.339481,41.626953,11.879959
2016-08-12,22.760727,72.733498,82.747772,8.981708,113.439529,29.409176,9.188825,55.270519,41.539463,11.752533
2016-08-15,23.02482,73.879593,83.361069,9.302832,115.185356,29.914181,9.382682,56.127659,41.782497,11.958375
2016-08-16,22.878101,73.898857,83.400017,9.283368,114.473389,29.844866,9.34391,55.861649,41.821384,11.928968
2016-08-17,22.927008,74.197418,83.507103,9.2931,114.570915,29.815161,9.363296,55.595638,42.015812,11.948571
2016-08-18,22.878101,73.696602,83.195587,9.370948,114.990303,29.894379,9.217903,55.428154,42.015812,11.968176
2016-08-19,23.063942,74.046516,83.156639,9.429333,114.756226,30.151833,9.217903,55.319782,42.142193,11.98778
2016-08-22,22.985693,73.939598,83.263725,9.400142,114.970787,29.884478,9.353601,55.211407,42.161629,11.93877
