Date,O,T,SJM,NEM,SCG,GIS,AWK,TSN,CPB,REG
2016-07-19,66.455193,40.241028,147.428268,41.09856,70.527832,69.646118,79.296181,69.887131,64.460999,78.297119
2016-07-20,65.991936,40.18457,147.00383,39.013344,70.346024,68.744865,79.170021,69.484009,62.477737,78.239792
2016-07-21,66.256676,40.00581,147.341461,40.234684,70.948898,68.275055,78.743095,69.936295,61.278103,78.430855
2016-07-22,66.568649,40.560921,147.563339,40.979408,71.704903,68.284645,80.382957,71.17514,61.316799,78.879852
2016-07-25,66.483566,40.40097,149.251495,39.847435,71.255119,68.735275,80.37326,72.079697,61.665089,78.793861
2016-07-26,66.285027,39.874084,147.322174,40.840393,70.61396,68.342163,79.791054,71.57827,60.571869,78.230232
2016-07-27,65.793404,40.231613,146.376785,42.022011,70.049362,67.642265,79.053589,70.949013,59.439957,78.163368
2016-07-28,67.016518,40.062256,146.965256,42.369545,70.757515,68.399689,79.626091,71.824081,59.585068,79.653641
2016-07-29,67.765587,40.730274,148.711288,43.690182,71.71447,68.927017,80.130676,72.364845,60.242939,81.134377
2016-08-01,68.400871,40.626781,148.826996,43.84906,72.307785,68.677742,80.382957,73.033424,60.030098,81.487839
2016-08-02,66.381256,40.60796,149.116425,45.537083,71.81974,68.044945,79.635796,72.246864,59.31419,80.331917
2016-08-03,65.594276,40.589142,147.370377,44.703003,71.168999,66.903992,78.762489,71.745407,58.888508,79.472145
2016-08-04,65.935616,40.532696,150.679153,44.593777,71.13073,67.584724,78.133713,72.325508,59.130367,79.31929
2016-08-05,65.006416,40.60796,149.743454,44.117153,69.800545,67.642265,76.505737,72.404175,59.32386,79.109123
2016-08-08,64.892647,40.391563,149.010315,44.335606,69.590027,67.718964,75.696609,72.826958,59.352886,78.803421
2016-08-09,65.357254,40.532696,148.450821,44.683136,69.618729,68.006599,75.784348,73.220238,59.343212,79.061356
2016-08-10,65.622734,40.645596,149.274796,45.249126,69.714417,68.131233,76.145042,73.38739,59.31419,79.156891
2016-08-11,64.646118,40.82436,148.179382,45.110111,69.867538,68.140831,75.872078,73.318573,59.101349,77.465988
2016-08-12,65.082275,40.720863,148.150299,44.851948,70.078079,68.236694,75.803848,74.105141,58.975574,76.997894
2016-08-15,64.465965,40.476242,147.40387,44.603703,69.0924,68.112061,74.614532,73.829826,58.636978,77.094009
2016-08-16,63.47039,39.478924,146.705933,43.978134,68.039742,67.594315,73.629936,73.003929,58.1726,76.017403
2016-08-17,64.105652,39.38483,148.586517,43.690182,69.226372,67.65184,75.023964,73.131744,58.462833,76.796021
2016-08-18,64.295288,38.952034,149.643158,44.117153,70.106781,68.332581,75.452896,73.770844,58.840137,76.82486
2016-08-19,63.337643,38.585091,149.875809,43.858986,69.456039,68.505157,74.517044,73.623352,59.043301,76.305763
2016-08-22,63.963428,38.491005,151.446198,43.014973,69.628304,68.610626,74.702263,74.331268,59.31419,76.959427
2016-08-23,63.80225,38.434551,139.23201,42.846169,69.379494,68.169586,74.565788,73.957657,58.482185,76.632614
2016-08-24,63.223862,38.453369,137.92334,39.569397,69.168961,68.073715,74.341576,73.741341,58.753067,76.709511
2016-08-25,63.214375,38.641541,136.672867,39.87722,69.322075,68.447624,74.351318,74.203468,59.140045,77.094009
2016-08-26,62.323086,38.274605,134.724396,39.648838,67.532555,67.949059,72.918312,73.829826,58.511208,76.51725
2016-08-29,62.939396,38.575684,137.157532,40.621937,68.106728,68.476387,73.532455,74.754059,59.130367,77.218979
2016-08-30,62.23753,38.472187,135.480499,38.328201,67.130638,67.603897,72.167686,74.310738,58.753067,77.074791
2016-08-31,62.513336,38.462776,137.448349,37.970737,67.609116,67.901131,72.12867,74.448669,58.743397,77.42086
2016-09-01,62.522846,38.538048,136.352951,39.152363,66.996658,67.22039,71.514519,74.360001,55.057415,77.026718
2016-09-02,63.026909,38.528641,137.138168,40.234684,68.566078,68.016182,72.918312,75.305756,55.850727,77.939934
2016-09-06,63.892372,38.792088,137.477432,41.704266,69.704857,67.977829,73.990631,74.951096,55.821701,78.353287
2016-09-07,64.662735,38.829723,135.848862,41.793633,69.484756,65.053528,74.08812,74.162964,55.250908,78.76664
2016-09-08,64.120628,38.754448,135.306015,41.297153,69.441345,64.689201,73.824913,73.591576,54.331837,77.622711
2016-09-09,61.11528,37.361958,131.767792,39.023277,66.605446,62.368942,70.666412,71.187782,53.161221,74.383224
2016-09-12,62.332638,38.30283,133.609604,40.075813,68.100555,63.548241,71.641258,72.734482,54.16737,75.488693
2016-09-13,60.430515,37.606586,132.262161,38.769264,67.155251,62.896271,71.124596,72.281311,53.635269,73.316216
2016-09-14,60.858486,37.531315,132.756561,38.351959,67.608604,62.781219,71.426796,72.015312,53.683643,73.152802
2016-09-15,61.181843,38.058201,133.464188,38.948101,68.418877,62.838745,71.865471,72.507889,53.964203,73.585373
2016-09-16,61.314995,37.822987,132.834122,38.014141,69.373817,62.50317,72.460136,72.163094,53.577221,73.527702
2016-09-19,62.028301,37.691265,132.834122,38.183056,70.270905,62.522346,73.28875,73.128548,53.509502,74.123695
2016-09-20,62.38018,37.597179,131.535126,37.904854,70.058685,62.033363,73.259499,73.453636,53.228947,73.921822
2016-09-21,63.492928,38.171108,132.155533,40.766346,71.312668,62.570286,74.838745,74.566879,53.88681,74.748512
2016-09-22,64.558105,38.679176,133.648392,40.508018,71.891418,62.378529,75.41391,75.62101,53.586899,76.276924
2016-09-23,64.719803,38.839127,132.979507,39.305794,72.335136,61.985428,74.565788,75.128426,53.103176,76.23848
2016-09-26,65.318962,38.707405,133.502991,39.007721,72.547348,61.266338,74.751007,74.754059,52.803265,76.411507
2016-09-27,64.843437,39.008484,129.557587,38.232731,71.438065,61.285515,74.234344,74.596436,52.832287,75.56559
2016-09-28,65.452118,38.434551,130.594849,38.958038,71.052238,61.438919,74.31234,74.891983,53.141872,76.257706
2016-09-29,64.481079,38.321648,130.643295,38.799068,70.135857,61.036232,73.093781,73.71965,52.609779,74.84465
2016-09-30,63.842003,38.208744,131.389725,39.037529,69.807899,61.247162,72.957298,73.562019,52.919361,74.488968
2016-10-03,62.363518,38.359283,131.244308,37.855175,68.997635,61.247162,72.196915,73.985634,52.812939,72.576042
2016-10-04,60.75148,37.540726,129.10199,34.029915,66.914108,60.45137,70.101013,72.576851,51.903545,72.008888
2016-10-05,59.063145,37.293118,129.024445,34.367729,66.518616,60.248478,69.379623,72.675377,51.990616,70.557365
2016-10-06,58.748375,37.245502,129.005051,33.831196,66.663315,60.30645,69.408859,73.276321,52.145405,70.82653
2016-10-07,58.624371,37.016945,128.869354,33.751717,66.721191,60.026268,68.862953,66.744698,52.457008,71.057228
2016-10-10,59.244381,37.150265,130.284653,33.841137,66.971985,60.325771,69.584343,69.453896,52.729671,71.787804
2016-10-11,58.004364,37.235977,128.12291,33.632484,65.920563,59.852364,68.716721,70.320831,52.437534,70.941887
2016-10-12,58.824684,37.455013,128.53006,34.29818,66.499321,60.026268,69.496605,70.498161,52.924416,71.105301
2016-10-13,59.816704,37.493107,129.819336,34.586319,67.367462,60.11322,69.954781,70.961189,53.421043,71.749336
