Date,LH,PFE,WAT,MCO,EBAY,ZBH,CSCO,MRK,MDT,ABBV
2016-04-12,117.559998,29.927612,132.190002,93.09301,24.42,110.215103,26.228268,52.915272,74.183197,56.215282
2016-04-13,118.25,30.470736,134.740005,95.671341,25.08,113.060112,26.788132,53.50811,74.88028,55.968887
2016-04-14,119.010002,30.573742,134.889999,95.70063,25.209999,114.028229,26.807108,53.976639,74.90934,56.177376
2016-04-15,119.559998,30.433279,135.809998,95.505318,25.219999,112.645233,26.474987,53.680222,74.647926,56.395336
2016-04-18,118.82,30.536283,138.309998,96.335449,25.309999,112.230324,26.750174,54.034004,75.161064,56.745972
2016-04-19,118.989998,30.798471,136.619995,97.26326,24.299999,112.457542,26.883024,54.368675,75.625801,57.020794
2016-04-20,119.010002,31.116852,136.410004,98.41568,24.66,113.445396,26.987406,54.100945,76.177673,57.314571
2016-04-21,121.0,31.126223,137.679993,97.302315,24.690001,113.010742,26.797621,54.120064,76.022758,58.15799
2016-04-22,121.769997,31.154316,138.139999,96.472183,24.4,113.366356,26.712217,54.253933,76.477814,58.205368
2016-04-25,125.099998,31.098125,137.570007,96.569847,24.219999,113.267578,26.788132,53.756714,76.865097,57.778923
2016-04-26,126.739998,30.948298,133.339996,97.360924,24.49,113.810898,26.996897,53.584602,76.216393,57.741013
2016-04-27,127.0,30.901482,133.240005,97.468353,25.27,114.482643,27.177191,53.842773,76.923187,57.523052
2016-04-28,125.57,30.817207,131.649994,96.784714,24.620001,113.603439,26.531919,53.297745,77.242683,57.996887
2016-04-29,125.32,30.629921,130.160004,93.483665,24.43,114.364098,26.08593,52.43718,76.632729,57.80735
2016-05-02,125.860001,30.714199,132.880005,93.766899,24.26,114.522156,25.972059,52.877026,76.826363,58.224327
2016-05-03,125.330002,31.556969,131.270004,92.360535,23.98,113.504669,25.488106,52.666672,76.913498,58.537052
2016-05-04,124.18,31.276047,130.729996,91.48156,23.799999,113.297211,25.08956,52.408493,76.313217,58.243275
2016-05-05,124.489998,31.435234,131.100006,91.110458,23.809999,114.532036,24.871304,51.720039,76.971588,59.077221
2016-05-06,124.290001,31.444603,132.809998,92.253105,23.82,113.998589,25.174959,51.251511,77.203949,59.238319
2016-05-09,124.940002,31.669329,133.710007,92.448441,24.02,115.016083,25.155981,51.729599,77.7752,60.366039
2016-05-10,126.699997,31.650608,135.699997,94.040352,24.16,115.954536,25.649424,52.284191,78.646568,60.403946
2016-05-11,126.730003,31.329378,134.550003,92.682831,23.74,115.510002,25.336277,51.930405,78.530388,59.418381
2016-05-12,125.760002,31.357721,134.960007,92.526558,23.58,116.013817,25.30781,51.74873,78.753075,59.219372
2016-05-13,126.82,31.357721,134.759995,91.628067,23.780001,116.013817,25.174959,51.519241,78.143112,58.755013
2016-05-16,127.440002,31.537233,136.009995,92.555862,23.799999,118.147583,25.592485,52.255508,79.285576,59.181465
2016-05-17,126.190002,31.206554,134.490005,91.510872,23.27,117.060936,25.28883,51.93996,78.239929,57.096607
2016-05-18,126.279999,31.338821,135.050003,92.324684,23.690001,117.377068,25.355255,52.274628,78.036606,57.295616
2016-05-19,126.099998,31.537233,134.919998,91.255928,23.42,116.7547,26.161842,52.188572,77.455688,56.177376
2016-05-20,126.610001,31.877359,135.440002,92.001114,23.65,117.880867,26.541412,52.695351,77.959152,56.56591
2016-05-23,126.599998,31.811218,135.110001,91.883469,23.459999,117.979645,26.512945,52.513672,77.746162,56.196327
2016-05-24,128.160004,32.217484,137.559998,95.893738,24.049999,119.293503,27.015873,53.163879,78.365807,57.523052
2016-05-25,127.580002,32.453678,137.610001,96.207504,24.040001,120.449287,27.442888,54.091381,78.501343,58.015842
2016-05-26,127.309998,32.529263,136.710007,95.658417,24.120001,121.002487,27.423908,53.91927,78.598167,58.660255
2016-05-27,128.009995,32.699326,137.449997,96.805611,24.360001,121.575455,27.442888,54.005322,79.091949,59.427853
2016-05-31,127.949997,32.784359,137.550003,96.717361,24.459999,120.627098,27.566248,53.79496,77.920425,59.636337
2016-06-01,128.240005,32.8316,138.460007,96.933083,24.07,120.666618,27.423908,53.861897,77.959152,59.541576
