Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,EQIX,AVY,MAS,STZ,BSX,AMZN,FB,GPN,BDX,FBHS
2016-02-02,106.010002,106.510002,103.290001,103.75,101.729767,854600,102.621599318,103.702685742,101.662601154,0.284078622197,3.629997,0.0,1.449997,0.953759546807,1.08575712936,-0.00559047776056,-0.000771121396553,-0.0373013240068,-0.0949398714341,-0.101493980616,-0.0889638329753,-0.0992770778685,-1,0,0,312.589996,57.663059,24.561628,149.44902,17.84,552.099976,114.610001,56.495243,141.051102,45.502487
2016-02-03,104.489998,104.839996,100.870003,103.169998,101.161049,766700,102.55809713,103.198082189,101.977493553,-0.385207995806,3.969993,0.0,2.419998,0.953759546807,1.08575712936,0.00484645033683,-0.0318891216717,-0.0898517076469,-0.0964426634208,-0.0838420724562,-0.0942132974521,-0.0552485077532,1,0,0,309.540009,61.400658,24.747776,147.381363,17.73,531.070007,112.690002,57.27449,137.190552,45.336315
2016-02-04,103.120003,104.160004,102.599998,103.669998,101.651321,576200,102.520314792,101.540442819,102.19619356,0.23877942871,1.560006,0.0,0.0,0.814247329294,1.16492456649,-0.0365583935697,-0.0942414216142,-0.10080058871,-0.088260771348,-0.0985819751423,-0.0598051155676,-0.0434069715631,-1,-1,-1,308.450012,62.007526,24.875137,144.00061,17.34,536.26001,110.489998,57.63414,134.107986,45.590462
2016-02-05,103.269997,103.760002,99.529999,99.879997,97.935112,1049000,102.33690668,100.710589949,101.84492548,-0.0734663460652,4.230003,0.0,3.069999,0.814247329294,1.16492456649,-0.0598718465753,-0.0666799053643,-0.0536642567989,-0.0643771051183,-0.0241288333851,-0.00710845156332,0.0191230495555,-1,-1,-1,288.440002,60.880478,23.80724,135.46701,16.620001,502.130005,104.07,55.706013,131.521271,44.456562
2016-02-08,99.120003,99.300003,92.809998,93.900002,92.071556,1683700,101.9420855,98.7247794023,101.234462307,0.646721124161,7.069999,0.0,6.720001,0.895422546039,1.28106004619,-0.00724162845689,0.00660291871248,-0.00479217490362,0.0380192988158,0.0561236197637,0.0840256680358,0.074440981534,-1,0,0,268.839996,59.079105,22.98427,132.521011,16.07,488.100006,99.75,52.489132,129.21666,44.27084
2016-02-09,92.650002,94.220001,92.260002,93.220001,91.404808,1661300,101.551815963,94.917101166,100.391842406,-0.553689463782,1.959999,0.0,0.549996,1.16375755377,1.62627964992,0.0139455355565,0.00246732097506,0.0455910809418,0.063827462993,0.0919330414216,0.0822784398825,0.0833510968044,1,1,0,265.049988,60.581848,24.875137,133.640488,16.870001,482.070007,99.540001,52.419197,130.636383,44.583641
2016-02-10,93.940002,95.510002,93.010002,94.519997,92.679497,1549200,101.234947429,91.9800075882,99.8449377787,1.00092378438,2.5,1.290001,0.0,1.17983884191,1.57328701826,-0.0113203462898,0.0312103010227,0.0491958647553,0.0769148865795,0.0673930718463,0.068450975732,0.0935252917913,-1,-1,0,273.339996,60.726345,24.992704,136.301758,16.92,490.480011,101.0,54.437622,132.386765,44.964859
2016-02-11,93.959999,96.629997,91.720001,93.449997,91.630333,1635800,100.903753828,91.8384078741,99.3811088937,-0.328362325533,4.909996,0.0,1.290001,1.17983884191,1.5387599292,0.0430176216865,0.0612091194736,0.0892455230955,0.0796146839279,0.0806847007748,0.106046116846,0.103691699996,1,1,1,275.049988,59.99424,24.463655,133.169128,16.58,503.820007,101.910004,54.8573,131.599091,44.251289
2016-02-12,95.300003,99.139999,95.300003,97.470001,95.572052,1402600,100.726030433,92.896149753,98.3978239278,4.07144773991,5.690002,2.510002,0.0,1.19506894104,1.54602703448,0.0174412180666,0.0443213043077,0.0350876739572,0.0361135596419,0.0604289839879,0.0581716713585,0.0715091269569,1,1,0,284.880005,61.631847,25.296419,135.545547,16.639999,507.079987,102.010002,56.755817,135.955597,45.805511
2016-02-16,98.970001,99.940002,97.610001,99.169998,97.238945,1327800,100.613543806,93.8862303294,97.2027239231,1.31089527257,2.470001,0.800003,0.0,1.19506894104,1.2585222753,0.0264193014435,0.017343956169,0.0183522558785,0.0422508594679,0.0400322422256,0.0531410640048,0.074215963573,1,1,1,291.299988,62.450649,25.894047,136.782898,17.16,521.099976,101.610001,58.054806,138.201904,46.675484
