Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2016-03-03,13.38,13.55,13.25,13.5,13.190966,104572100,13.2048544419,12.9857913443,12.2037095614,0.0536170212766,0.3,0.04,0.0,0.269512944218,0.217875364377,0.00296301271643,0.00222227848969,-0.0325923817861,-0.0266666595911,-0.0170369630245,0.0214815958134,0.0103705066028,1,0,0,20.748545,68.59539,83.205963,7.944328,106.505905,26.715157,9.1695,45.251717,39.126102,11.087321
2016-03-04,13.76,13.89,13.49,13.54,13.230051,171410900,13.2054270909,13.1537080707,12.3323300987,-0.0241860465116,0.4,0.34,0.0,0.278753600953,0.0868389773196,-0.000738545905832,-0.0354503546509,-0.0295421385753,-0.0199408906285,0.0184638744023,0.00738561022932,0.00221571330299,-1,0,0,21.22274,68.213623,83.897911,8.04987,106.874352,26.754574,9.236361,45.193092,39.375626,11.164653
2016-03-07,13.45,13.62,13.37,13.53,13.22028,97650300,13.2057571556,13.2084346448,12.4055848093,-0.00683760683761,0.25,0.0,0.12,0.350248018334,0.200121729879,-0.0347374639569,-0.0288248811674,-0.0192165370174,0.0192166126587,0.008130160632,0.00295644267746,-0.0162601699813,-1,-1,-1,20.835644,68.843536,83.571152,8.040274,106.370178,27.12904,9.150397,45.378708,39.126102,11.058323
2016-03-08,13.4,13.47,13.05,13.06,12.761041,125894800,13.196089413,13.1396616996,12.5257649323,0.0563636363636,0.48,0.0,0.32,0.350248018334,0.148509550212,0.00612536234309,0.016079487559,0.0558957533323,0.0444103267124,0.0390504191625,0.0191422470941,0.026033612775,1,0,0,20.245314,67.106468,81.754799,7.723653,104.53772,26.281565,8.93071,44.352921,38.243202,10.72
2016-03-09,13.17,13.27,13.0,13.14,12.839207,92253800,13.1884961702,13.0082007285,12.6696925532,-0.0151351351351,0.27,0.0,0.05,0.350248018334,-0.108331850392,0.00989352379785,0.04946738533,0.0380518827993,0.0327246067456,0.0129376370363,0.0197870475957,0.04946738533,1,0,0,20.032408,67.201912,81.322342,7.607653,104.712242,26.163311,8.921159,44.440849,38.156826,10.536338
2016-03-10,13.23,13.4,13.0,13.27,12.966232,123016200,13.1838656667,12.8232852247,12.8054589904,0.0629299363057,0.4,0.13,0.0,0.255272505103,-0.0724065310974,0.0391861722048,0.0278825027965,0.0226074159401,0.00301429127599,0.00979660089377,0.0391861722048,0.0429539591764,1,1,1,20.332411,67.345078,81.822083,7.704319,104.508636,26.252001,9.112191,44.450619,37.916904,10.594337
2016-03-11,13.44,13.84,13.37,13.79,13.474329,120400600,13.1897934898,12.9965668531,12.9216817005,0.505471698113,0.57,0.44,0.0,0.173186268412,-0.0724065310974,-0.0108774247682,-0.0159535959082,-0.0348078928457,-0.0282813340835,0.0,0.00362570930248,-0.00217547011061,-1,-1,0,21.203386,70.198845,83.032974,7.965319,107.931168,27.78928,9.379633,46.355644,38.828598,10.845663
2016-03-14,13.72,13.74,13.49,13.64,13.327763,87746800,13.19255288,13.1896791099,13.0738056045,0.0101234567901,0.3,0.0,0.0,0.139879086401,-0.108331850392,-0.0051319940188,-0.0241936324948,-0.0175953008768,0.0109970442902,0.0146626256784,0.00879765043841,-0.00146626256784,-1,0,0,21.377581,69.673904,82.475586,7.936319,108.173561,27.434525,9.303222,46.160259,38.857399,10.768332
2016-03-15,13.51,13.6,13.39,13.57,13.259365,80404000,13.1938629216,13.389251635,13.1256067356,0.00842105263158,0.25,0.0,0.1,0.103803720956,-0.108331850392,-0.0191599673137,-0.0125275984182,0.0162122394247,0.0198967295945,0.0140015000718,0.00368464100656,0.00810604429398,-1,-1,0,21.474354,69.120323,82.446754,7.839652,107.989349,27.335978,9.226809,45.271244,39.145298,10.797331
2016-03-16,13.51,13.81,13.09,13.31,13.005316,149645400,13.1902370192,13.2466718902,13.1226254945,-0.0751020408163,0.72,0.0,0.3,-0.0506099933551,-0.108331850392,0.00676192719962,0.036063176012,0.0398196399073,0.0338092515399,0.0232908604451,0.0277986324977,0.0232908604451,1,0,0,20.913063,69.253944,81.389626,7.752653,107.291267,26.527922,9.120975,45.212631,38.90538,10.642669
